ward,ticket_count,ticket_count_rank,current_amount_due,current_amount_due_rank,fine_level1_amount,fine_level1_amount_rank,total_payments,total_payments_rank,avg_per_ticket,avg_per_ticket_rank,paid_pct,paid_pct_rank,police_ticket_count,police_ticket_count_rank,police_ticket_count_pct,police_ticket_count_pct_rank,contested_ticket_count,contested_ticket_count_rank,contested_ticket_count_pct,contested_ticket_count_pct_rank,paid_ticket_count,paid_ticket_count_rank,paid_ticket_count_pct,paid_ticket_count_pct_rank,dismissed_ticket_count,dismissed_ticket_count_rank,dismissed_ticket_count_pct,dismissed_ticket_count_pct_rank,seized_or_suspended_ticket_count,seized_or_suspended_ticket_count_rank,seized_or_suspended_ticket_count_pct,seized_or_suspended_ticket_count_pct_rank,bankruptcy_ticket_count,bankruptcy_ticket_count_rank,bankruptcy_ticket_count_pct,bankruptcy_ticket_count_pct_rank
28,0,0,3.261864185333252e-05,0,0,0,1.7642974853515625e-05,0,-4.263256414560601e-14,0,-5.156985949383852e-14,0,0,0,-2.220446049250313e-16,0,0,0,1.3877787807814457e-17,0,0,0,1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,3.469446951953614e-18,0
29,0,0,3.3698976039886475e-05,0,0,0,1.0192394256591797e-05,0,-2.842170943040401e-14,0,-1.2684298056342413e-13,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,5.551115123125783e-17,0,0,0,6.938893903907228e-18,0
30,0,0,6.780028343200684e-06,0,0,0,5.848705768585205e-06,0,-4.973799150320701e-14,0,-2.7644553313166398e-14,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,1.1102230246251565e-16,0,0,0,-6.938893903907228e-18,0,0,0,0.0,0,0,0,0.0,0
31,0,0,1.204758882522583e-05,0,0,0,8.247792720794678e-06,0,3.552713678800501e-14,0,-5.384581669432009e-14,0,0,0,-1.6653345369377348e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,5.551115123125783e-17,0,0,0,0.0,0
32,0,0,1.3932585716247559e-06,0,0,0,1.023709774017334e-05,0,-4.263256414560601e-14,0,1.8318679906315083e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,-2.7755575615628914e-17,0,0,1,0.0,0
33,0,0,2.1297484636306763e-05,0,0,0,8.38935375213623e-06,0,0.0,0,-1.1812772982011666e-13,0,0,0,0.0,0,0,0,1.3877787807814457e-17,0,0,0,1.1102230246251565e-16,0,0,0,6.938893903907228e-18,0,0,0,-5.551115123125783e-17,0,0,0,4.336808689942018e-19,0
34,65,0,3658.1900113224983,0,4725,0,4025.2100016102195,0,-0.0005805492924508826,0,9.93477534805276e-06,0,59,0,2.2479535030872633e-05,0,2,0,-7.906166475030174e-06,0,29,0,-4.057159571191349e-06,0,5,0,-1.6142276482444817e-06,0,26,0,-9.078799729833609e-06,0,3,0,3.1055673164331887e-06,0
35,0,0,2.4616718292236328e-05,0,0,0,1.0654330253601074e-05,0,-2.842170943040401e-14,0,-1.1191048088221578e-13,0,0,0,0.0,0,0,0,6.938893903907228e-18,0,0,0,0.0,0,0,0,6.938893903907228e-18,0,0,0,5.551115123125783e-17,0,0,0,8.673617379884035e-19,0
36,0,0,-2.2277235984802246e-06,0,0,0,1.7657876014709473e-06,0,-2.842170943040401e-14,0,4.574118861455645e-14,0,0,0,-1.1102230246251565e-16,0,0,0,-1.3877787807814457e-17,0,0,0,-1.1102230246251565e-16,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,-8.673617379884035e-19,0
37,0,0,4.1328370571136475e-05,0,0,0,8.724629878997803e-06,0,2.842170943040401e-14,0,-1.6192602814157908e-13,0,0,0,0.0,0,0,0,0.0,0,0,0,-5.551115123125783e-17,0,0,0,1.3877787807814457e-17,0,0,0,0.0,0,0,0,0.0,0
38,0,0,-1.6521662473678589e-06,0,0,0,-9.313225746154785e-07,0,7.105427357601002e-15,0,2.7533531010703882e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,-2.220446049250313e-16,0,0,0,0.0,0,0,0,5.551115123125783e-17,0,0,0,4.336808689942018e-19,0
39,0,0,-2.6263296604156494e-06,0,0,0,1.1771917343139648e-06,0,-3.552713678800501e-14,0,5.595524044110789e-14,0,0,0,1.1102230246251565e-16,0,0,0,0.0,0,0,0,2.220446049250313e-16,0,0,0,-1.3877787807814457e-17,0,0,0,-5.551115123125783e-17,0,0,0,-4.336808689942018e-19,0
40,0,0,7.7076256275177e-06,0,0,0,9.134411811828613e-06,0,0.0,0,-2.9976021664879227e-14,-1,0,0,-1.1102230246251565e-16,0,0,0,-2.7755575615628914e-17,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,-4.336808689942018e-19,0
41,0,0,1.0803341865539551e-07,0,0,0,-4.2282044887542725e-07,0,-4.263256414560601e-14,0,-1.1879386363489175e-14,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1.3877787807814457e-17,0,0,0,2.7755575615628914e-17,0,0,0,0.0,0
42,0,0,-0.00014545023441314697,0,0,0,1.8358230590820312e-05,0,-1.4210854715202004e-14,0,3.043121310497554e-13,0,0,0,1.1102230246251565e-16,0,0,0,1.3877787807814457e-17,0,0,0,0.0,0,0,0,1.3877787807814457e-17,0,0,0,-2.7755575615628914e-17,0,0,0,-8.673617379884035e-19,0
43,0,0,9.957700967788696e-06,0,0,0,-2.288818359375e-05,0,-2.1316282072803006e-14,0,-9.281464485866309e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,0.0,0,0,0,2.7755575615628914e-17,0,0,0,0.0,0
44,0,0,1.8991529941558838e-05,0,0,0,-4.1112303733825684e-05,0,2.1316282072803006e-14,0,-1.4288570326925765e-13,0,0,0,-5.551115123125783e-17,0,0,0,0.0,0,0,0,1.1102230246251565e-16,0,0,0,1.3877787807814457e-17,0,0,0,0.0,0,0,0,0.0,0
45,0,0,-3.332272171974182e-06,0,0,0,6.817281246185303e-07,0,-2.842170943040401e-14,0,6.161737786669619e-14,0,0,0,1.1102230246251565e-16,0,0,0,1.3877787807814457e-17,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,-8.326672684688674e-17,0,0,0,-4.336808689942018e-19,0
46,0,0,1.317635178565979e-05,0,0,0,1.014024019241333e-05,0,1.4210854715202004e-14,0,-6.517009154549669e-14,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
47,0,0,1.6130506992340088e-06,0,0,0,8.359551429748535e-06,0,4.973799150320701e-14,0,7.993605777301127e-15,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2.168404344971009e-19,0
48,0,0,1.2621283531188965e-05,0,0,0,4.67151403427124e-06,0,3.552713678800501e-14,0,-8.926193117986259e-14,0,0,0,0.0,0,0,0,-1.3877787807814457e-17,0,0,0,0.0,0,0,0,1.3877787807814457e-17,0,0,0,-5.551115123125783e-17,0,0,0,-8.673617379884035e-19,0
49,0,0,2.615898847579956e-05,0,0,0,1.0654330253601074e-05,0,-2.1316282072803006e-14,0,-1.1901590823981678e-13,0,0,0,0.0,0,0,0,0.0,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,5.551115123125783e-17,0,0,0,0.0,0
50,0,0,1.9818544387817383e-06,0,0,0,5.200505256652832e-06,0,-2.842170943040401e-14,0,7.327471962526033e-15,0,0,0,-1.1102230246251565e-16,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
